[MindSPONGE] Step: 300, E_pot: -4154.9023, E_kin: 10708.314, E_tot: 6553.412, Temperature: 339.63983, Time: 84.07ms
[MindSPONGE] Step: 310, E_pot: -4319.42, E_kin: 10851.111, E_tot: 6531.6914, Temperature: 344.16898, Time: 87.21ms
[MindSPONGE] Step: 320, E_pot: -4504.758, E_kin: 10854.411, E_tot: 6349.6533, Temperature: 344.27362, Time: 83.63ms
[MindSPONGE] Step: 330, E_pot: -4455.211, E_kin: 10704.414, E_tot: 6249.203, Temperature: 339.51614, Time: 88.55ms
[MindSPONGE] Step: 340, E_pot: -4483.074, E_kin: 10693.745, E_tot: 6210.671, Temperature: 339.17773, Time: 92.49ms
[MindSPONGE] Step: 350, E_pot: -4414.9375, E_kin: 10606.299, E_tot: 6191.3613, Temperature: 336.40414, Time: 94.69ms
[MindSPONGE] Step: 360, E_pot: -4547.291, E_kin: 10670.3125, E_tot: 6123.0215, Temperature: 338.4345, Time: 95.07ms
[MindSPONGE] Step: 370, E_pot: -4827.8887, E_kin: 10929.848, E_tot: 6101.959, Temperature: 346.6663, Time: 94.00ms
[MindSPONGE] Step: 380, E_pot: -4941.6484, E_kin: 10874.201, E_tot: 5932.5527, Temperature: 344.90134, Time: 98.34ms
[MindSPONGE] Step: 390, E_pot: -4759.4336, E_kin: 10687.972, E_tot: 5928.538, Temperature: 338.99463, Time: 99.10ms
[MindSPONGE] Step: 400, E_pot: -4825.4727, E_kin: 10696.791, E_tot: 5871.3184, Temperature: 339.27435, Time: 99.83ms
[MindSPONGE] Step: 410, E_pot: -4619.4805, E_kin: 10442.664, E_tot: 5823.1836, Temperature: 331.2141, Time: 99.12ms
[MindSPONGE] Step: 420, E_pot: -4747.0312, E_kin: 10618.459, E_tot: 5871.4277, Temperature: 336.78983, Time: 100.58ms
[MindSPONGE] Step: 430, E_pot: -4637.1855, E_kin: 10529.192, E_tot: 5892.007, Temperature: 333.95853, Time: 104.62ms
[MindSPONGE] Step: 440, E_pot: -4835.588, E_kin: 10609.507, E_tot: 5773.919, Temperature: 336.5059, Time: 105.62ms
[MindSPONGE] Step: 450, E_pot: -5020.244, E_kin: 10648.709, E_tot: 5628.465, Temperature: 337.7493, Time: 105.88ms
[MindSPONGE] Step: 460, E_pot: -5061.828, E_kin: 10644.525, E_tot: 5582.6973, Temperature: 337.6166, Time: 106.05ms
[MindSPONGE] Step: 470, E_pot: -5006.6914, E_kin: 10596.83, E_tot: 5590.1387, Temperature: 336.10385, Time: 108.71ms
[MindSPONGE] Step: 480, E_pot: -5006.301, E_kin: 10618.818, E_tot: 5612.5176, Temperature: 336.80124, Time: 111.80ms
[MindSPONGE] Step: 490, E_pot: -4921.246, E_kin: 10525.112, E_tot: 5603.866, Temperature: 333.82913, Time: 110.01ms
[MindSPONGE] Step: 500, E_pot: -5106.3984, E_kin: 10622.883, E_tot: 5516.4844, Temperature: 336.93015, Time: 111.31ms
[MindSPONGE] Step: 510, E_pot: -5103.9707, E_kin: 10512.048, E_tot: 5408.077, Temperature: 333.41476, Time: 112.70ms
[MindSPONGE] Step: 520, E_pot: -5045.867, E_kin: 10395.914, E_tot: 5350.047, Temperature: 329.7313, Time: 115.61ms
[MindSPONGE] Step: 530, E_pot: -5237.707, E_kin: 10517.936, E_tot: 5280.2285, Temperature: 333.6015, Time: 116.75ms
[MindSPONGE] Step: 540, E_pot: -4965.211, E_kin: 10216.508, E_tot: 5251.297, Temperature: 324.04102, Time: 119.87ms
[MindSPONGE] Step: 550, E_pot: -5244.504, E_kin: 10449.951, E_tot: 5205.4473, Temperature: 331.44522, Time: 120.41ms
[MindSPONGE] Step: 560, E_pot: -5425.9062, E_kin: 10532.498, E_tot: 5106.592, Temperature: 334.06342, Time: 122.16ms
[MindSPONGE] Step: 570, E_pot: -5281.451, E_kin: 10321.486, E_tot: 5040.035, Temperature: 327.37064, Time: 122.75ms
[MindSPONGE] Step: 580, E_pot: -5449.035, E_kin: 10466.4, E_tot: 5017.365, Temperature: 331.96695, Time: 124.97ms
[MindSPONGE] Step: 590, E_pot: -5396.33, E_kin: 10373.963, E_tot: 4977.633, Temperature: 329.03506, Time: 126.81ms
[MindSPONGE] Step: 600, E_pot: -5542.4844, E_kin: 10481.764, E_tot: 4939.2793, Temperature: 332.45425, Time: 129.94ms
[MindSPONGE] Step: 610, E_pot: -5625.25, E_kin: 10483.9795, E_tot: 4858.7295, Temperature: 332.52454, Time: 130.29ms
[MindSPONGE] Step: 620, E_pot: -5246.1094, E_kin: 10153.806, E_tot: 4907.6963, Temperature: 322.05228, Time: 131.36ms
[MindSPONGE] Step: 630, E_pot: -5450.8438, E_kin: 10289.321, E_tot: 4838.4775, Temperature: 326.35043, Time: 132.04ms
[MindSPONGE] Step: 640, E_pot: -5492.58, E_kin: 10297.016, E_tot: 4804.4355, Temperature: 326.5945, Time: 53.80ms
